"id","tier","wins","losses","freshblood","rank"
5338,"BRONZE",4,4,0,1
5339,"BRONZE",6,19,0,1
5340,"BRONZE",4,3,0,1
5341,"BRONZE",3,3,0,1
5342,"BRONZE",8,4,0,1
5343,"BRONZE",8,9,0,1
5344,"BRONZE",4,2,0,1
5345,"BRONZE",5,5,0,1
5346,"BRONZE",5,11,0,1
5347,"BRONZE",9,15,0,1
5348,"BRONZE",6,4,0,1
5349,"BRONZE",2,4,0,1
5350,"BRONZE",7,9,0,1
5351,"BRONZE",6,7,0,1
5352,"BRONZE",3,2,0,1
5353,"BRONZE",4,2,0,1
5354,"BRONZE",3,4,0,1
5355,"BRONZE",32,49,0,1
5356,"BRONZE",6,4,0,1
5357,"BRONZE",11,13,0,1
5358,"BRONZE",10,2,0,1
5359,"BRONZE",4,7,0,1
5360,"BRONZE",5,7,0,1
5361,"BRONZE",2,3,0,1
5362,"BRONZE",7,14,0,1
5363,"BRONZE",2,3,1,1
5364,"BRONZE",5,7,1,1
5365,"BRONZE",2,3,1,1
5366,"BRONZE",6,7,0,1
5367,"BRONZE",8,10,0,1
5368,"BRONZE",8,10,0,1
5369,"BRONZE",5,4,0,1
5370,"BRONZE",8,15,0,1
5371,"BRONZE",4,8,1,1
5372,"BRONZE",7,12,0,1
5373,"BRONZE",5,5,0,1
5374,"BRONZE",4,10,0,1
5375,"BRONZE",7,7,0,1
5376,"BRONZE",4,5,0,1
5377,"BRONZE",9,9,0,1
5378,"BRONZE",3,2,1,1
5379,"BRONZE",2,3,0,1
5380,"BRONZE",3,5,0,1
5381,"BRONZE",4,6,0,1
5382,"BRONZE",3,2,0,1
5383,"BRONZE",3,2,1,1
5384,"BRONZE",7,10,0,1
5385,"BRONZE",5,0,0,1
5386,"BRONZE",2,3,0,1
5387,"BRONZE",3,3,0,1
5388,"BRONZE",13,18,0,1
5389,"BRONZE",5,2,0,1
5390,"BRONZE",3,5,0,1
5391,"BRONZE",11,10,0,1
5392,"BRONZE",5,7,0,1
5393,"BRONZE",19,24,0,1
5394,"BRONZE",3,4,0,1
5395,"BRONZE",5,10,0,1
5396,"BRONZE",3,4,0,1
5397,"BRONZE",7,11,0,1
5398,"BRONZE",4,3,0,1
5399,"BRONZE",10,21,0,1
5400,"BRONZE",4,4,0,1
5401,"BRONZE",2,5,0,1
5402,"BRONZE",5,2,0,1
5403,"BRONZE",5,8,0,1
5404,"BRONZE",6,5,0,1
5405,"BRONZE",5,5,0,1
5406,"BRONZE",10,9,0,1
5407,"BRONZE",5,7,1,1
5408,"BRONZE",7,8,0,1
5409,"BRONZE",8,12,0,1
5410,"BRONZE",7,7,0,1
5411,"BRONZE",5,1,0,1
5412,"BRONZE",4,3,0,1
5413,"BRONZE",5,4,0,1
5414,"BRONZE",2,3,0,1
5415,"BRONZE",4,4,0,1
5416,"BRONZE",4,2,0,1
5417,"BRONZE",5,0,1,1
5418,"BRONZE",4,9,0,1
5419,"BRONZE",19,29,0,1
5420,"BRONZE",3,2,0,1
5421,"BRONZE",20,27,0,1
5422,"BRONZE",17,17,0,1
5423,"BRONZE",10,17,0,1
5424,"BRONZE",9,14,0,1
5425,"BRONZE",3,4,0,1
5426,"BRONZE",5,6,0,1
5427,"BRONZE",4,2,0,1
5428,"BRONZE",6,7,0,1
5429,"BRONZE",4,2,0,1
5430,"BRONZE",13,14,0,1
5431,"BRONZE",10,14,0,1
5432,"BRONZE",3,5,0,1
5433,"BRONZE",7,10,0,1
5434,"BRONZE",5,4,0,1
5435,"BRONZE",3,3,0,1
5436,"BRONZE",4,4,0,1
5437,"BRONZE",5,9,0,1
5438,"BRONZE",5,5,0,1
5439,"BRONZE",3,8,0,1
5440,"BRONZE",2,4,0,1
5441,"BRONZE",8,8,0,1
5442,"BRONZE",6,7,0,1
5443,"BRONZE",12,13,0,1
5444,"BRONZE",8,6,0,1
5445,"BRONZE",6,7,0,1
5446,"BRONZE",6,7,0,1
5447,"BRONZE",4,7,0,1
5448,"BRONZE",6,9,0,1
5449,"BRONZE",12,23,0,1
5450,"BRONZE",3,5,0,1
5451,"BRONZE",8,7,0,1
5452,"BRONZE",6,6,0,1
5453,"BRONZE",3,3,0,1
5454,"BRONZE",8,3,0,1
5455,"BRONZE",2,3,0,1
5456,"BRONZE",10,24,0,1
5457,"BRONZE",3,2,0,1
5458,"BRONZE",5,10,0,1
5459,"BRONZE",3,2,0,1
5460,"BRONZE",21,23,0,1
5461,"BRONZE",7,9,0,1
5462,"BRONZE",7,6,0,1
5463,"BRONZE",4,5,0,1
5464,"BRONZE",2,3,0,1
5465,"BRONZE",5,5,0,1
5466,"BRONZE",5,10,0,1
5467,"BRONZE",5,2,0,1
5468,"BRONZE",5,2,0,1
5469,"BRONZE",3,5,0,1
5470,"BRONZE",3,4,0,1
5471,"BRONZE",7,11,0,1
5472,"BRONZE",5,8,0,1
5473,"BRONZE",4,4,0,1
5474,"BRONZE",6,9,0,1
5475,"BRONZE",5,9,0,1
5476,"BRONZE",2,3,0,1
5477,"BRONZE",2,3,0,1
5478,"BRONZE",3,2,1,1
