"id","tier","wins","losses","freshblood","rank"
9284,"EMERALD",48,33,1,1
9285,"EMERALD",74,38,0,1
9286,"EMERALD",63,54,0,1
9287,"EMERALD",142,126,0,1
9288,"EMERALD",101,79,0,1
9289,"EMERALD",82,65,0,1
9290,"EMERALD",257,229,0,1
9291,"EMERALD",32,11,0,1
9292,"EMERALD",89,86,0,1
9293,"EMERALD",72,61,0,1
9294,"EMERALD",157,127,0,1
9295,"EMERALD",93,64,0,1
9296,"EMERALD",75,67,0,1
9297,"EMERALD",59,42,0,1
9298,"EMERALD",36,18,0,1
9299,"EMERALD",36,18,1,1
9300,"EMERALD",133,110,0,1
9301,"EMERALD",48,37,1,1
9302,"EMERALD",36,33,0,1
9303,"EMERALD",210,179,0,1
9304,"EMERALD",68,63,0,1
9305,"EMERALD",235,207,0,1
9306,"EMERALD",95,80,0,1
9307,"EMERALD",63,37,0,1
9308,"EMERALD",44,23,0,1
9309,"EMERALD",87,76,0,1
9310,"EMERALD",77,74,0,1
9311,"EMERALD",56,53,0,1
9312,"EMERALD",92,84,0,1
9313,"EMERALD",69,50,0,1
9314,"EMERALD",69,55,0,1
9315,"EMERALD",183,168,0,1
9316,"EMERALD",93,77,0,1
9317,"EMERALD",51,43,0,1
9318,"EMERALD",72,63,1,1
9319,"EMERALD",49,29,0,1
9320,"EMERALD",92,85,0,1
9321,"EMERALD",56,41,0,1
9322,"EMERALD",159,137,0,1
9323,"EMERALD",49,34,0,1
9324,"EMERALD",37,20,0,1
9325,"EMERALD",154,153,0,1
9326,"EMERALD",211,212,0,1
9327,"EMERALD",67,37,0,1
9328,"EMERALD",93,72,0,1
9329,"EMERALD",67,49,0,1
9330,"EMERALD",92,85,0,1
9331,"EMERALD",48,33,0,1
9332,"EMERALD",190,187,0,1
9333,"EMERALD",58,42,0,1
9334,"EMERALD",80,63,0,1
9335,"EMERALD",61,52,0,1
9336,"EMERALD",140,134,0,1
9337,"EMERALD",41,21,0,1
9338,"EMERALD",195,173,0,1
9339,"EMERALD",50,35,0,1
9340,"EMERALD",93,66,0,1
9341,"EMERALD",155,135,0,1
9342,"EMERALD",111,91,0,1
9343,"EMERALD",68,57,0,1
9344,"EMERALD",75,79,0,1
9345,"EMERALD",122,99,0,1
9346,"EMERALD",43,31,0,1
9347,"EMERALD",74,58,0,1
9348,"EMERALD",54,47,0,1
9349,"EMERALD",95,83,0,1
9350,"EMERALD",97,94,0,1
9351,"EMERALD",44,25,0,1
9352,"EMERALD",81,64,0,1
9353,"EMERALD",84,79,0,1
9354,"EMERALD",72,51,0,1
9355,"EMERALD",184,168,0,1
9356,"EMERALD",98,80,0,1
9357,"EMERALD",56,50,0,1
9358,"EMERALD",50,40,0,1
9359,"EMERALD",97,89,0,1
9360,"EMERALD",80,65,0,1
9361,"EMERALD",106,108,0,1
9362,"EMERALD",46,35,0,1
9363,"EMERALD",232,213,0,1
9364,"EMERALD",64,52,0,1
9365,"EMERALD",248,242,0,1
9366,"EMERALD",42,32,0,1
9367,"EMERALD",66,57,0,1
9368,"EMERALD",28,11,1,1
9369,"EMERALD",86,79,0,1
9370,"EMERALD",70,77,0,1
9371,"EMERALD",127,108,0,1
9372,"EMERALD",45,27,0,1
9373,"EMERALD",80,74,0,1
9374,"EMERALD",75,58,0,1
9375,"EMERALD",84,69,0,1
9376,"EMERALD",52,29,0,1
9377,"EMERALD",79,55,0,1
9378,"EMERALD",133,132,0,1
9379,"EMERALD",121,121,0,1
9380,"EMERALD",89,75,0,1
9381,"EMERALD",127,126,0,1
9382,"EMERALD",80,63,0,1
9383,"EMERALD",56,42,0,1
9384,"EMERALD",86,81,0,1
9385,"EMERALD",65,47,0,1
9386,"EMERALD",77,60,0,1
9387,"EMERALD",42,30,0,1
9388,"EMERALD",265,251,0,1
9389,"EMERALD",44,32,0,1
9390,"EMERALD",51,45,0,1
9391,"EMERALD",58,45,0,1
9392,"EMERALD",130,131,0,1
9393,"EMERALD",49,29,0,1
9394,"EMERALD",102,73,0,1
9395,"EMERALD",62,53,0,1
9396,"EMERALD",93,69,0,1
9397,"EMERALD",40,13,0,1
9398,"EMERALD",74,59,0,1
9399,"EMERALD",259,236,0,1
9400,"EMERALD",45,25,0,1
9401,"EMERALD",103,110,0,1
9402,"EMERALD",176,175,0,1
9403,"EMERALD",58,44,0,1
9404,"EMERALD",56,46,0,1
9405,"EMERALD",58,53,0,1
9406,"EMERALD",90,89,0,1
9407,"EMERALD",48,37,0,1
9408,"EMERALD",72,51,0,1
9409,"EMERALD",46,35,0,1
9410,"EMERALD",179,149,0,1
9411,"EMERALD",75,67,0,1
9412,"EMERALD",54,33,0,1
9413,"EMERALD",93,71,0,1
9414,"EMERALD",74,66,0,1
9415,"EMERALD",57,48,0,1
9416,"EMERALD",80,55,0,1
9417,"EMERALD",69,46,0,1
9418,"EMERALD",84,61,0,1
9419,"EMERALD",118,76,0,1
9420,"EMERALD",65,28,0,1
9421,"EMERALD",48,28,0,1
9422,"EMERALD",48,33,0,1
9423,"EMERALD",74,55,0,1
9424,"EMERALD",72,60,0,1
9425,"EMERALD",65,67,0,1
9426,"EMERALD",78,48,0,1
9427,"EMERALD",112,85,0,1
9428,"EMERALD",48,22,0,1
9429,"EMERALD",138,110,0,1
9430,"EMERALD",168,165,0,1
