"id","tier","wins","losses","freshblood","rank"
10104,"GOLD",27,21,0,1
10105,"GOLD",29,18,0,1
10106,"GOLD",54,53,0,1
10107,"GOLD",24,18,0,1
10108,"GOLD",34,37,0,1
10109,"GOLD",46,50,0,1
10110,"GOLD",32,38,0,1
10111,"GOLD",33,32,0,1
10112,"GOLD",29,24,0,1
10113,"GOLD",42,38,0,1
10114,"GOLD",27,28,0,1
10115,"GOLD",33,28,0,1
10116,"GOLD",21,22,0,1
10117,"GOLD",31,28,0,1
10118,"GOLD",28,14,0,1
10119,"GOLD",31,27,0,1
10120,"GOLD",40,43,0,1
10121,"GOLD",54,55,0,1
10122,"GOLD",9,4,0,1
10123,"GOLD",26,25,0,1
10124,"GOLD",31,22,0,1
10125,"GOLD",43,37,0,1
10126,"GOLD",36,35,0,1
10127,"GOLD",32,28,0,1
10128,"GOLD",52,55,0,1
10129,"GOLD",39,33,0,1
10130,"GOLD",36,29,0,1
10131,"GOLD",21,22,0,1
10132,"GOLD",47,48,0,1
10133,"GOLD",39,39,0,1
10134,"GOLD",22,19,0,1
10135,"GOLD",35,24,0,1
10136,"GOLD",19,18,0,1
10137,"GOLD",23,20,0,1
10138,"GOLD",79,80,0,1
10139,"GOLD",65,80,0,1
10140,"GOLD",17,11,0,1
10141,"GOLD",28,22,0,1
10142,"GOLD",17,10,0,1
10143,"GOLD",21,13,0,1
10144,"GOLD",38,37,0,1
10145,"GOLD",21,13,0,1
10146,"GOLD",76,50,0,1
10147,"GOLD",43,33,0,1
10148,"GOLD",14,7,0,1
10149,"GOLD",40,44,0,1
10150,"GOLD",28,28,0,1
10151,"GOLD",13,9,0,1
10152,"GOLD",59,61,0,1
10153,"GOLD",15,6,0,1
10154,"GOLD",26,21,0,1
10155,"GOLD",30,25,0,1
10156,"GOLD",23,19,0,1
10157,"GOLD",38,37,0,1
10158,"GOLD",49,59,0,1
10159,"GOLD",23,19,0,1
10160,"GOLD",86,78,0,1
10161,"GOLD",18,15,0,1
10162,"GOLD",80,70,0,1
10163,"GOLD",43,36,0,1
10164,"GOLD",39,39,0,1
10165,"GOLD",19,26,0,1
10166,"GOLD",23,28,0,1
10167,"GOLD",93,76,0,1
10168,"GOLD",18,15,0,1
10169,"GOLD",19,20,0,1
10170,"GOLD",43,49,0,1
10171,"GOLD",27,17,0,1
10172,"GOLD",27,17,0,1
10173,"GOLD",33,32,0,1
10174,"GOLD",38,27,0,1
10175,"GOLD",53,48,0,1
10176,"GOLD",30,28,0,1
10177,"GOLD",22,17,0,1
10178,"GOLD",26,27,0,1
10179,"GOLD",38,37,0,1
10180,"GOLD",70,66,0,1
10181,"GOLD",63,56,0,1
10182,"GOLD",55,49,0,1
10183,"GOLD",56,41,0,1
10184,"GOLD",19,15,0,1
10185,"GOLD",19,12,0,1
10186,"GOLD",60,58,0,1
10187,"GOLD",26,23,0,1
10188,"GOLD",55,49,0,1
10189,"GOLD",20,12,0,1
10190,"GOLD",32,23,0,1
10191,"GOLD",63,49,0,1
10192,"GOLD",42,33,0,1
10193,"GOLD",51,56,0,1
10194,"GOLD",62,67,0,1
10195,"GOLD",37,28,0,1
10196,"GOLD",14,8,0,1
10197,"GOLD",38,38,0,1
10198,"GOLD",18,16,0,1
10199,"GOLD",103,115,0,1
10200,"GOLD",52,61,0,1
10201,"GOLD",49,41,0,1
10202,"GOLD",30,29,0,1
10203,"GOLD",17,13,0,1
10204,"GOLD",56,53,0,1
10205,"GOLD",34,33,0,1
10206,"GOLD",41,37,0,1
10207,"GOLD",14,12,0,1
10208,"GOLD",55,53,0,1
10209,"GOLD",15,3,1,1
10210,"GOLD",96,88,0,1
10211,"GOLD",23,13,0,1
10212,"GOLD",31,34,0,1
10213,"GOLD",26,26,0,1
10214,"GOLD",67,63,0,1
10215,"GOLD",62,70,0,1
10216,"GOLD",38,33,0,1
10217,"GOLD",64,73,0,1
10218,"GOLD",33,26,0,1
10219,"GOLD",79,77,0,1
10220,"GOLD",109,112,0,1
10221,"GOLD",91,83,0,1
10222,"GOLD",34,29,0,1
10223,"GOLD",29,24,0,1
10224,"GOLD",65,65,0,1
10225,"GOLD",32,30,0,1
10226,"GOLD",30,20,0,1
10227,"GOLD",32,31,0,1
10228,"GOLD",36,28,0,1
10229,"GOLD",21,24,0,1
10230,"GOLD",39,38,0,1
10231,"GOLD",16,7,0,1
10232,"GOLD",21,14,0,1
10233,"GOLD",8,0,0,1
10234,"GOLD",17,5,0,1
10235,"GOLD",24,24,0,1
10236,"GOLD",39,41,0,1
10237,"GOLD",44,37,0,1
10238,"GOLD",76,72,0,1
10239,"GOLD",19,10,1,1
10240,"GOLD",45,52,0,1
10241,"GOLD",49,51,0,1
10242,"GOLD",43,37,0,1
10243,"GOLD",65,62,0,1
10244,"GOLD",22,14,0,1
10245,"GOLD",48,48,0,1
10246,"GOLD",25,24,0,1
10247,"GOLD",33,28,0,1
10248,"GOLD",17,14,0,1
10249,"GOLD",26,23,0,1
10250,"GOLD",21,11,0,1
10251,"GOLD",8,2,0,1
10252,"GOLD",32,36,0,1
10253,"GOLD",23,18,0,1
10254,"GOLD",28,27,0,1
10255,"GOLD",39,40,0,1
10256,"GOLD",48,50,0,1
10257,"GOLD",15,4,0,1
10258,"GOLD",52,46,0,1
10259,"GOLD",34,32,0,1
10260,"GOLD",13,13,0,1
10261,"GOLD",61,53,0,1
10262,"GOLD",13,5,0,1
10263,"GOLD",49,48,0,1
10264,"GOLD",34,26,0,1
10265,"GOLD",38,34,0,1
10266,"GOLD",33,39,0,1
10267,"GOLD",16,8,0,1
10268,"GOLD",35,27,0,1
10269,"GOLD",79,66,0,1
10270,"GOLD",75,69,0,1
10271,"GOLD",65,67,0,1
10272,"GOLD",30,28,0,1
10273,"GOLD",10,3,0,1
10274,"GOLD",21,19,0,1
10275,"GOLD",88,79,0,1
10276,"GOLD",20,7,0,1
10277,"GOLD",61,62,0,1
10278,"GOLD",16,6,0,1
10279,"GOLD",24,14,0,1
10280,"GOLD",38,27,0,1
10281,"GOLD",44,43,0,1
10282,"GOLD",25,26,0,1
10283,"GOLD",28,29,0,1
10284,"GOLD",46,31,0,1
10285,"GOLD",14,4,0,1
10286,"GOLD",24,22,0,1
10287,"GOLD",22,18,0,1
10288,"GOLD",27,13,0,1
10289,"GOLD",14,17,0,1
10290,"GOLD",34,26,0,1
10291,"GOLD",37,36,0,1
10292,"GOLD",23,21,0,1
10293,"GOLD",47,54,0,1
10294,"GOLD",40,42,0,1
10295,"GOLD",17,7,0,1
10296,"GOLD",66,66,0,1
10297,"GOLD",50,48,0,1
10298,"GOLD",24,16,0,1
10299,"GOLD",61,59,0,1
10300,"GOLD",15,7,0,1
10301,"GOLD",22,19,0,1
10302,"GOLD",44,30,0,1
10303,"GOLD",33,32,0,1
10304,"GOLD",41,35,0,1
10305,"GOLD",20,8,0,1
10306,"GOLD",24,21,0,1
10307,"GOLD",43,38,0,1
10308,"GOLD",25,21,0,1
10309,"GOLD",19,16,0,2
10310,"GOLD",27,19,0,2
10311,"GOLD",24,25,0,2
10312,"GOLD",48,35,0,2
10313,"GOLD",21,8,0,2
10314,"GOLD",31,31,0,2
10315,"GOLD",25,17,0,2
10316,"GOLD",31,33,0,2
10317,"GOLD",46,44,0,2
10318,"GOLD",38,40,0,2
10319,"GOLD",70,72,0,2
10320,"GOLD",36,33,0,2
10321,"GOLD",20,11,0,2
10322,"GOLD",26,24,0,2
10323,"GOLD",18,24,0,2
10324,"GOLD",30,30,0,2
10325,"GOLD",14,7,0,2
10326,"GOLD",35,20,0,2
10327,"GOLD",23,21,0,2
10328,"GOLD",65,70,0,2
10329,"GOLD",58,66,0,2
10330,"GOLD",26,29,0,2
10331,"GOLD",22,14,0,2
10332,"GOLD",15,21,0,2
10333,"GOLD",69,64,0,2
10334,"GOLD",52,51,0,2
10335,"GOLD",37,25,0,2
10336,"GOLD",22,23,0,2
10337,"GOLD",26,21,0,2
10338,"GOLD",10,0,1,2
10339,"GOLD",68,74,0,2
10340,"GOLD",16,10,0,2
10341,"GOLD",25,21,0,2
10342,"GOLD",50,59,0,2
10343,"GOLD",50,54,0,2
10344,"GOLD",40,37,0,2
10345,"GOLD",84,83,0,2
10346,"GOLD",17,12,0,2
10347,"GOLD",52,51,0,2
10348,"GOLD",29,29,0,2
10349,"GOLD",43,47,0,2
10350,"GOLD",13,14,0,2
10351,"GOLD",80,83,0,2
10352,"GOLD",21,15,0,2
10353,"GOLD",47,45,0,2
10354,"GOLD",30,26,0,2
10355,"GOLD",83,79,0,2
10356,"GOLD",62,66,0,2
10357,"GOLD",68,56,0,2
10358,"GOLD",30,29,0,2
10359,"GOLD",29,24,0,2
10360,"GOLD",46,46,0,2
10361,"GOLD",116,121,0,2
10362,"GOLD",18,11,0,2
10363,"GOLD",61,61,0,2
10364,"GOLD",34,30,0,2
10365,"GOLD",74,64,0,2
10366,"GOLD",46,54,0,2
10367,"GOLD",61,68,0,2
10368,"GOLD",35,36,0,2
10369,"GOLD",60,50,0,2
10370,"GOLD",19,13,0,2
10371,"GOLD",36,26,0,2
10372,"GOLD",33,23,0,2
10373,"GOLD",7,0,0,2
10374,"GOLD",23,22,0,2
10375,"GOLD",26,24,0,2
10376,"GOLD",55,66,0,2
10377,"GOLD",18,21,0,2
10378,"GOLD",34,35,0,2
10379,"GOLD",48,53,0,2
10380,"GOLD",34,34,0,2
10381,"GOLD",23,12,0,2
10382,"GOLD",41,29,0,2
10383,"GOLD",40,40,0,2
10384,"GOLD",127,116,0,2
10385,"GOLD",165,175,0,2
10386,"GOLD",30,25,0,2
10387,"GOLD",114,119,0,2
10388,"GOLD",60,49,0,2
10389,"GOLD",29,26,0,2
10390,"GOLD",23,21,0,2
10391,"GOLD",34,33,0,2
10392,"GOLD",28,27,0,2
10393,"GOLD",18,14,0,2
10394,"GOLD",18,12,0,2
10395,"GOLD",48,49,0,2
10396,"GOLD",38,35,0,2
10397,"GOLD",36,45,0,2
10398,"GOLD",30,38,0,2
10399,"GOLD",17,18,0,2
10400,"GOLD",172,171,0,2
10401,"GOLD",31,22,0,2
10402,"GOLD",14,10,0,2
10403,"GOLD",12,4,0,2
10404,"GOLD",21,20,0,2
10405,"GOLD",27,25,0,2
10406,"GOLD",39,47,0,2
10407,"GOLD",70,80,0,2
10408,"GOLD",24,31,0,2
10409,"GOLD",49,55,0,2
10410,"GOLD",55,58,0,2
10411,"GOLD",66,64,0,2
10412,"GOLD",27,24,0,2
10413,"GOLD",22,17,0,2
10414,"GOLD",57,54,0,2
10415,"GOLD",76,74,0,2
10416,"GOLD",37,33,0,2
10417,"GOLD",31,30,0,2
10418,"GOLD",77,83,0,2
10419,"GOLD",7,2,0,2
10420,"GOLD",29,30,0,2
10421,"GOLD",16,14,0,2
10422,"GOLD",18,14,0,2
10423,"GOLD",27,20,0,2
10424,"GOLD",33,38,0,2
10425,"GOLD",23,23,0,2
10426,"GOLD",63,70,0,2
10427,"GOLD",29,22,0,2
10428,"GOLD",42,52,0,2
10429,"GOLD",34,35,0,2
10430,"GOLD",40,38,0,2
10431,"GOLD",30,30,0,2
10432,"GOLD",35,28,0,2
10433,"GOLD",62,56,0,2
10434,"GOLD",53,52,0,2
10435,"GOLD",52,45,0,2
10436,"GOLD",23,18,0,2
10437,"GOLD",46,69,0,2
10438,"GOLD",14,12,0,2
10439,"GOLD",19,16,0,2
10440,"GOLD",14,8,1,2
10441,"GOLD",8,2,0,2
10442,"GOLD",16,19,0,2
10443,"GOLD",40,42,0,2
10444,"GOLD",53,55,0,2
10445,"GOLD",20,16,0,2
10446,"GOLD",31,29,0,2
10447,"GOLD",30,32,0,2
10448,"GOLD",33,36,0,2
10449,"GOLD",28,21,0,2
10450,"GOLD",18,10,0,2
10451,"GOLD",20,17,0,2
10452,"GOLD",45,60,0,2
10453,"GOLD",48,49,0,2
10454,"GOLD",22,21,0,2
10455,"GOLD",23,21,0,2
10456,"GOLD",23,18,0,2
10457,"GOLD",22,20,0,2
10458,"GOLD",18,11,0,2
10459,"GOLD",44,47,0,2
10460,"GOLD",55,53,0,2
10461,"GOLD",25,21,0,2
10462,"GOLD",48,44,0,2
10463,"GOLD",46,43,0,2
10464,"GOLD",73,74,0,2
10465,"GOLD",29,24,0,2
10466,"GOLD",35,27,0,2
10467,"GOLD",30,39,0,2
10468,"GOLD",26,38,0,2
10469,"GOLD",41,44,0,2
10470,"GOLD",113,143,0,2
10471,"GOLD",30,23,0,2
10472,"GOLD",34,31,0,2
10473,"GOLD",17,13,0,2
10474,"GOLD",101,93,0,2
10475,"GOLD",19,16,0,2
10476,"GOLD",7,3,0,2
10477,"GOLD",21,13,0,2
10478,"GOLD",25,21,0,2
10479,"GOLD",20,16,0,2
10480,"GOLD",51,48,0,2
10481,"GOLD",21,13,0,2
10482,"GOLD",27,27,0,2
10483,"GOLD",25,24,0,2
10484,"GOLD",31,30,0,2
10485,"GOLD",56,61,0,2
10486,"GOLD",27,26,0,2
10487,"GOLD",81,87,0,2
10488,"GOLD",32,31,0,2
10489,"GOLD",41,47,0,2
10490,"GOLD",28,31,0,2
10491,"GOLD",16,9,0,2
10492,"GOLD",28,18,0,2
10493,"GOLD",27,21,1,2
10494,"GOLD",54,57,0,2
10495,"GOLD",42,33,0,2
10496,"GOLD",23,16,0,2
10497,"GOLD",77,85,0,2
10498,"GOLD",16,9,0,2
10499,"GOLD",72,60,0,2
10500,"GOLD",39,38,0,2
10501,"GOLD",28,28,0,2
10502,"GOLD",35,38,0,2
10503,"GOLD",37,25,0,2
10504,"GOLD",23,24,0,2
10505,"GOLD",13,14,0,2
10506,"GOLD",44,52,0,2
10507,"GOLD",48,43,0,2
10508,"GOLD",19,22,0,2
10509,"GOLD",31,29,0,2
10510,"GOLD",21,12,1,2
10511,"GOLD",26,25,0,2
10512,"GOLD",67,62,0,2
10513,"GOLD",38,31,0,2
10514,"GOLD",32,31,0,3
10515,"GOLD",13,15,0,3
10516,"GOLD",37,30,0,3
10517,"GOLD",25,27,0,3
10518,"GOLD",14,13,0,3
10519,"GOLD",28,29,0,3
10520,"GOLD",41,42,0,3
10521,"GOLD",15,18,0,3
10522,"GOLD",22,18,0,3
10523,"GOLD",47,35,0,3
10524,"GOLD",42,41,0,3
10525,"GOLD",50,44,0,3
10526,"GOLD",36,40,1,3
10527,"GOLD",51,49,0,3
10528,"GOLD",15,13,0,3
10529,"GOLD",30,26,0,3
10530,"GOLD",18,18,0,3
10531,"GOLD",57,78,0,3
10532,"GOLD",13,6,0,3
10533,"GOLD",18,13,0,3
10534,"GOLD",7,2,0,3
