"id","tier","wins","losses","freshblood","rank"
6978,"IRON",1,5,0,1
6979,"IRON",3,4,1,1
6980,"IRON",2,4,0,1
6981,"IRON",1,4,0,1
6982,"IRON",1,5,0,1
6983,"IRON",1,6,0,1
6984,"IRON",2,5,0,1
6985,"IRON",4,3,0,1
6986,"IRON",5,8,0,1
6987,"IRON",1,4,0,1
6988,"IRON",2,6,0,1
6989,"IRON",3,6,0,1
6990,"IRON",2,4,0,1
6991,"IRON",2,3,0,1
6992,"IRON",1,4,1,1
6993,"IRON",2,4,0,1
6994,"IRON",2,4,0,1
6995,"IRON",1,8,0,1
6996,"IRON",3,3,0,1
6997,"IRON",1,4,0,1
6998,"IRON",4,8,0,1
6999,"IRON",2,4,0,1
7000,"IRON",3,4,0,1
7001,"IRON",2,3,0,1
7002,"IRON",2,6,0,1
7003,"IRON",3,2,0,1
7004,"IRON",5,2,0,1
7005,"IRON",1,4,0,1
7006,"IRON",2,3,0,1
7007,"IRON",1,4,0,1
7008,"IRON",1,4,0,1
7009,"IRON",1,7,0,1
7010,"IRON",2,5,0,1
7011,"IRON",2,3,0,1
7012,"IRON",1,4,0,1
7013,"IRON",2,3,0,1
7014,"IRON",2,3,0,1
7015,"IRON",2,4,0,1
7016,"IRON",2,3,0,1
7017,"IRON",2,4,0,1
7018,"IRON",1,5,0,1
7019,"IRON",2,3,0,1
7020,"IRON",2,6,0,1
7021,"IRON",1,4,0,1
7022,"IRON",2,3,0,1
7023,"IRON",3,6,0,1
7024,"IRON",2,3,0,1
7025,"IRON",1,4,0,1
7026,"IRON",2,4,0,1
7027,"IRON",1,4,0,1
7028,"IRON",2,3,0,1
7029,"IRON",1,4,0,1
7030,"IRON",2,3,0,1
7031,"IRON",2,4,0,1
7032,"IRON",1,7,0,1
7033,"IRON",2,5,0,1
7034,"IRON",3,2,0,1
7035,"IRON",3,8,0,1
7036,"IRON",2,4,1,1
7037,"IRON",4,7,0,1
7038,"IRON",1,4,0,1
7039,"IRON",2,7,0,1
7040,"IRON",2,4,1,1
7041,"IRON",2,3,0,1
7042,"IRON",2,3,0,1
