"id","tier","wins","losses","freshblood","rank"
7644,"PLATINUM",50,49,0,1
7645,"PLATINUM",97,83,0,1
7646,"PLATINUM",70,62,0,1
7647,"PLATINUM",99,107,0,1
7648,"PLATINUM",49,47,0,1
7649,"PLATINUM",41,36,0,1
7650,"PLATINUM",110,108,0,1
7651,"PLATINUM",30,20,0,1
7652,"PLATINUM",44,41,0,1
7653,"PLATINUM",73,54,0,1
7654,"PLATINUM",48,38,0,1
7655,"PLATINUM",96,97,0,1
7656,"PLATINUM",43,37,0,1
7657,"PLATINUM",78,69,0,1
7658,"PLATINUM",42,26,0,1
7659,"PLATINUM",67,51,0,1
7660,"PLATINUM",90,76,0,1
7661,"PLATINUM",72,60,0,1
7662,"PLATINUM",56,48,0,1
7663,"PLATINUM",87,69,0,1
7664,"PLATINUM",83,77,0,1
7665,"PLATINUM",116,122,0,1
7666,"PLATINUM",81,74,0,1
7667,"PLATINUM",44,29,0,1
7668,"PLATINUM",50,38,0,1
7669,"PLATINUM",93,80,0,1
7670,"PLATINUM",53,38,0,1
7671,"PLATINUM",49,54,0,1
7672,"PLATINUM",52,52,0,1
7673,"PLATINUM",40,32,0,1
7674,"PLATINUM",50,30,0,1
7675,"PLATINUM",41,37,0,1
7676,"PLATINUM",74,60,0,1
7677,"PLATINUM",48,37,0,1
7678,"PLATINUM",67,60,0,1
7679,"PLATINUM",38,26,0,1
7680,"PLATINUM",81,71,0,1
7681,"PLATINUM",163,135,0,1
7682,"PLATINUM",82,76,0,1
7683,"PLATINUM",38,25,0,1
7684,"PLATINUM",101,86,0,1
7685,"PLATINUM",77,58,0,1
7686,"PLATINUM",79,76,0,1
7687,"PLATINUM",78,74,0,1
7688,"PLATINUM",45,43,0,1
7689,"PLATINUM",28,12,0,1
7690,"PLATINUM",42,40,0,1
7691,"PLATINUM",20,6,0,1
7692,"PLATINUM",117,113,0,1
7693,"PLATINUM",54,50,0,1
7694,"PLATINUM",57,31,0,1
7695,"PLATINUM",62,49,0,1
7696,"PLATINUM",49,48,0,1
7697,"PLATINUM",73,74,0,1
7698,"PLATINUM",48,36,0,1
7699,"PLATINUM",59,39,0,1
7700,"PLATINUM",66,62,0,1
7701,"PLATINUM",31,22,0,1
7702,"PLATINUM",58,55,0,1
7703,"PLATINUM",91,82,0,1
7704,"PLATINUM",108,121,0,1
7705,"PLATINUM",63,58,0,1
7706,"PLATINUM",113,96,0,1
7707,"PLATINUM",62,52,0,1
7708,"PLATINUM",104,89,0,1
7709,"PLATINUM",330,331,0,1
7710,"PLATINUM",35,31,0,1
7711,"PLATINUM",52,41,0,1
7712,"PLATINUM",50,47,0,1
7713,"PLATINUM",74,75,0,1
7714,"PLATINUM",36,23,0,1
7715,"PLATINUM",69,59,0,1
7716,"PLATINUM",146,129,0,1
7717,"PLATINUM",117,118,0,1
7718,"PLATINUM",76,68,0,1
7719,"PLATINUM",71,65,0,1
7720,"PLATINUM",26,11,0,1
7721,"PLATINUM",61,51,0,1
7722,"PLATINUM",99,75,0,1
7723,"PLATINUM",29,12,0,1
7724,"PLATINUM",194,189,0,1
7725,"PLATINUM",122,121,0,1
7726,"PLATINUM",67,42,0,1
7727,"PLATINUM",30,19,0,1
7728,"PLATINUM",81,54,0,1
7729,"PLATINUM",93,83,0,1
7730,"PLATINUM",36,35,0,1
7731,"PLATINUM",116,110,0,1
7732,"PLATINUM",45,34,0,1
7733,"PLATINUM",122,115,0,1
7734,"PLATINUM",102,101,0,1
7735,"PLATINUM",90,89,0,1
7736,"PLATINUM",74,74,0,1
7737,"PLATINUM",104,99,0,1
7738,"PLATINUM",146,148,0,1
7739,"PLATINUM",58,55,0,1
7740,"PLATINUM",105,93,0,1
7741,"PLATINUM",65,57,0,1
7742,"PLATINUM",44,44,0,1
7743,"PLATINUM",48,41,0,1
7744,"PLATINUM",46,35,0,1
7745,"PLATINUM",48,39,0,1
7746,"PLATINUM",34,19,0,1
7747,"PLATINUM",60,49,0,1
7748,"PLATINUM",108,111,0,1
7749,"PLATINUM",65,56,0,1
7750,"PLATINUM",27,15,0,1
7751,"PLATINUM",37,35,0,1
7752,"PLATINUM",57,42,0,1
7753,"PLATINUM",35,29,0,1
7754,"PLATINUM",150,145,0,1
7755,"PLATINUM",97,89,0,1
7756,"PLATINUM",101,85,0,1
7757,"PLATINUM",126,124,0,1
7758,"PLATINUM",75,76,0,1
7759,"PLATINUM",48,47,0,1
7760,"PLATINUM",92,89,0,1
7761,"PLATINUM",113,87,0,1
7762,"PLATINUM",96,87,0,1
7763,"PLATINUM",58,53,0,1
7764,"PLATINUM",85,83,0,1
7765,"PLATINUM",114,103,0,1
7766,"PLATINUM",40,28,0,1
7767,"PLATINUM",82,86,0,1
7768,"PLATINUM",22,7,0,1
7769,"PLATINUM",46,31,0,1
7770,"PLATINUM",59,35,0,1
7771,"PLATINUM",37,32,0,1
7772,"PLATINUM",37,31,0,1
7773,"PLATINUM",36,19,0,1
7774,"PLATINUM",69,70,0,1
7775,"PLATINUM",126,117,0,1
7776,"PLATINUM",58,60,0,1
